,tic,statpers,fyear,actual,actual_lag1,meanest,medest,numest,stdev,statest,spe.statest,spe.medest,spe.meanest
1,ABM,19347,2013,1.52,1.39,1.37,1.37,6,0.06,1.40682638612198,0.012808266878211,0.0225,0.0225
2,AKS,18311,2011,-0.54,-0.63,1.41,1.3,13,0.3,-3.20507365110986,7.10261756584002,3.3856,3.8025
3,AVX,19130,2013,0.6,1.2,0.91,0.93,3,0.06,0.730308980176842,0.0169804303147286,0.1089,0.0961
4,ABT,19039,2013,5.07,4.66,5.02,5.01,23,0.07,4.91902895257835,0.0227922571595914,0.00360000000000006,0.00250000000000007
5,ACXM,19130,2013,0.76,0.76,0.61,0.61,5,0.02,0.716986479492463,0.00185016294645231,0.0225,0.0225
6,ADBE,19347,2013,1.34,2.35,1.43,1.4,25,0.11,2.60366115240737,1.59683950810353,0.00359999999999998,0.00809999999999998
7,ADTN,19011,2013,0.74,2.12,2.2,2.22,19,0.1,1.91196537709144,1.37350284510108,2.1904,2.1316
8,AMD,19039,2013,-0.16,0.5,0.65,0.64,31,0.09,-1.7265547883175,2.4540939048005,0.64,0.6561
9,AGU,19039,2013,10.29,9.81,9.01,9.1,24,0.67,9.85175716995195,0.192056778088528,1.4161,1.6384
10,APD,19312,2013,5.5,5.4,5.74,5.75,21,0.06,5.68819698874617,0.0354181065731243,0.0625,0.0576000000000001
11,ARG,19130,2013,4.35,4.11,4.81,4.8,16,0.05,4.34926117870109,5.45856911718971e-07,0.2025,0.2116
12,ALB,19039,2013,4.85,4.77,4.82,4.9,11,0.32,4.97002045837864,0.014404910429418,0.00250000000000007,0.000899999999999962
13,AGN,19039,2013,4.14,3.65,4.19,4.18,28,0.03,3.72387752151043,0.173157917104302,0.0016,0.00250000000000007
14,ATK,19130,2013,8.34,7.93,6.57,6.45,14,0.43,7.21662509745223,1.26197117167422,3.5721,3.1329
15,ALTR,19039,2013,1.72,2.35,1.82,1.8,29,0.15,1.86770475209428,0.0218166937912342,0.00640000000000001,0.01
16,APU,19312,2013,2.43,0.71,2.51,2.47,7,0.15,3.78522521692277,1.83663538858337,0.0016,0.00639999999999994
